support,friends,education,female,age,attend,ideology,party
1,2,1,1,55,1,4,Democrat
0,1,1,0,57,5,2,Republican
0,1,1,0,66,4,1,Independent
1,1,1,0,35,4,5,Independent
0,1,1,0,64,3,2,Independent
0,1,1,0,30,3,4,Democrat
1,1,1,0,62,2,2,Independent
0,1,1,0,77,1,2,Independent
1,1,1,0,60,0,3,Republican
0,1,1,1,69,5,1,Republican
0,1,1,1,51,4,2,Republican
0,3,2,0,22,5,1,Republican
1,3,2,0,31,5,2,Republican
1,3,2,0,37,4,1,Republican
0,3,2,0,62,4,2,Republican
1,3,2,0,77,4,2,Republican
0,3,2,0,51,4,2,Independent
0,3,2,0,28,3,3,Republican
1,3,2,0,33,3,3,Independent
1,3,2,0,22,2,2,Republican
1,3,2,0,38,2,5,Democrat
1,3,2,0,59,1,2,Republican
1,3,2,0,23,1,3,Democrat
0,3,2,0,47,1,4,Republican
1,3,2,0,82,1,4,Democrat
1,3,2,0,63,1,4,Independent
1,3,2,0,45,0,1,Democrat
1,3,2,0,28,0,3,Democrat
1,3,2,0,73,0,3,Independent
1,3,2,0,27,0,4,Democrat
0,3,2,1,27,5,3,Democrat
1,3,2,1,45,5,3,Independent
0,3,2,1,50,4,3,Democrat
1,3,2,1,25,4,3,Democrat
0,3,2,1,64,4,3,Independent
0,3,2,1,42,4,5,Democrat
1,3,2,1,42,3,3,Republican
1,3,2,1,47,3,3,Democrat
1,3,2,1,74,3,3,Democrat
1,3,2,1,62,3,4,Democrat
1,3,2,1,57,3,4,Democrat
1,3,2,1,33,3,4,Independent
1,3,2,1,32,2,3,Democrat
1,3,2,1,46,2,3,Independent
1,3,2,1,23,2,4,Democrat
1,3,2,1,35,1,2,Independent
1,3,2,1,38,1,3,Republican
1,3,2,1,25,1,3,Independent
1,3,2,1,76,1,4,Independent
1,3,2,1,22,1,5,Democrat
1,3,2,1,22,0,5,Democrat
1,3,2,1,30,0,5,Independent
0,2,2,0,68,5,1,Republican
0,2,2,0,35,5,1,Republican
0,2,2,0,26,5,1,Republican
1,2,2,0,54,5,2,Republican
0,2,2,0,58,5,2,Republican
0,2,2,0,52,4,1,Independent
1,2,2,0,58,4,2,Republican
0,2,2,0,44,4,2,Independent
0,2,2,0,65,4,2,Independent
0,2,2,0,46,4,3,Republican
0,2,2,0,43,4,3,Democrat
1,2,2,0,68,4,3,Democrat
1,2,2,0,57,4,3,Independent
0,2,2,0,51,4,3,Independent
1,2,2,0,64,4,4,Democrat
0,2,2,0,75,3,1,Independent
0,2,2,0,50,3,2,Republican
0,2,2,0,33,3,2,Independent
0,2,2,0,55,3,3,Republican
1,2,2,0,52,3,3,Independent
1,2,2,0,24,3,3,Independent
0,2,2,0,69,2,2,Republican
1,2,2,0,53,2,2,Democrat
1,2,2,0,58,2,3,Republican
1,2,2,0,29,2,3,Democrat
0,2,2,0,64,2,3,Independent
1,2,2,0,48,2,3,Independent
1,2,2,0,43,2,4,Democrat
1,2,2,0,52,1,2,Republican
0,2,2,0,69,1,3,Republican
1,2,2,0,63,1,3,Democrat
1,2,2,0,60,1,3,Independent
1,2,2,0,63,1,5,Democrat
1,2,2,0,61,0,3,Independent
1,2,2,0,63,0,4,Democrat
1,2,2,0,23,0,4,Democrat
1,2,2,0,24,0,5,Independent
0,2,2,1,59,5,2,Democrat
0,2,2,1,74,5,2,Independent
1,2,2,1,61,5,3,Democrat
1,2,2,1,65,5,3,Independent
0,2,2,1,48,4,1,Republican
0,2,2,1,65,4,2,Republican
0,2,2,1,50,4,2,Democrat
1,2,2,1,28,4,3,Independent
0,2,2,1,60,4,3,Independent
1,2,2,1,56,3,2,Republican
1,2,2,1,27,3,3,Independent
1,2,2,1,69,3,3,Independent
0,2,2,1,55,3,3,Independent
1,2,2,1,60,3,3,Independent
1,2,2,1,23,3,3,Independent
0,2,2,1,51,3,4,Democrat
1,2,2,1,68,3,4,Democrat
1,2,2,1,62,2,3,Republican
1,2,2,1,48,2,3,Independent
1,2,2,1,78,2,3,Independent
1,2,2,1,66,2,3,Independent
1,2,2,1,41,2,4,Republican
1,2,2,1,61,2,4,Democrat
1,2,2,1,43,2,4,Independent
1,2,2,1,62,2,5,Democrat
1,2,2,1,63,1,3,Independent
1,2,2,1,67,1,3,Independent
1,2,2,1,52,1,4,Democrat
1,2,2,1,65,1,4,Democrat
1,2,2,1,47,1,5,Democrat
0,2,2,1,67,0,2,Democrat
0,1,2,0,78,4,2,Independent
0,1,2,0,69,3,1,Republican
0,1,2,0,60,3,3,Democrat
1,1,2,0,43,3,3,Independent
0,1,2,0,60,3,3,Independent
1,1,2,0,66,2,1,Independent
0,1,2,0,52,1,3,Independent
1,1,2,0,21,1,3,Independent
1,1,2,1,70,4,2,Independent
1,1,2,1,21,3,2,Republican
1,1,2,1,23,1,3,Democrat
1,1,2,1,27,1,4,Democrat
0,1,2,1,40,0,2,Independent
0,0,2,0,60,4,2,Republican
0,3,3,0,65,4,2,Republican
1,3,3,1,51,3,2,Independent
1,3,3,1,50,0,5,Independent
0,2,3,0,75,4,2,Republican
1,2,3,0,62,4,3,Independent
0,2,3,0,72,3,2,Independent
1,2,3,0,41,1,3,Republican
1,2,3,1,69,2,5,Democrat
1,2,3,1,41,1,4,Independent
1,3,3,0,47,5,2,Republican
0,3,3,0,45,5,3,Democrat
0,3,3,0,72,4,2,Republican
1,3,3,0,49,4,2,Democrat
1,3,3,0,82,4,4,Democrat
0,3,3,0,70,3,2,Independent
1,3,3,0,33,3,3,Republican
0,3,3,0,71,1,2,Republican
1,3,3,0,75,1,4,Democrat
1,3,3,0,38,1,4,Democrat
1,3,3,0,55,0,2,Independent
0,3,3,1,42,5,2,Republican
1,3,3,1,41,5,3,Independent
1,3,3,1,48,5,3,Independent
1,3,3,1,69,4,3,Republican
1,3,3,1,41,4,3,Democrat
1,3,3,1,38,4,3,Independent
1,3,3,1,70,3,3,Republican
1,3,3,1,49,3,4,Independent
1,3,3,1,44,2,3,Independent
1,3,3,1,35,2,4,Democrat
1,3,3,1,49,2,5,Democrat
1,3,3,1,50,1,4,Democrat
1,3,3,1,34,1,5,Independent
1,3,3,1,52,0,4,Democrat
1,3,3,1,55,0,5,Democrat
1,3,3,1,68,0,5,Democrat
0,2,3,0,52,5,1,Independent
0,2,3,0,64,5,2,Republican
0,2,3,0,57,5,2,Independent
0,2,3,0,53,4,2,Republican
